Date,Qty,PN,Description,Specs,Supplier,Link,Unit Price,Total Price,Notes,
,,TF-Luna,TF-Luna,,Amazon,https://www.amazon.com/Single-Point-Compatible-Rasppbarry-Communication-Interface/dp/B088NVX2L7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.b3_CqdP5PrwQFrdP9aYoPFcLP77CFNU3kAJt8bmZfjxxvmW3ymwuPO-sRzcNAKXaOLZ4ZMBhLA91TlpStMLk_4-Vluc-jlKBPQfaHGLRTmZhoRUWFbLFKgyM5TEYURxFrKC9IaECXqOQlvZJW9OcYWetPf_oceE4csMH_TF1TFRSYp2Q7OcHjx4QwLGWI4zF7047eWR-G4zBPghpcvagpZzQdf2-nlW6ts0EHxT4wqkRG9DE9bZz6V1enrOo5q_u7PeOeGHkZzkQKQVb7AibA5-I3K_K7v1SYe5IzKf9q0E.H01vqPIAtTN8w0HzORMQbPSt3YHJhZPd4soscH7_J5g&dib_tag=se&keywords=tf+luna&qid=1771697637&sr=8-1,$25.99,$0.00,1,
,10,900-2132250210CT-ND,CONN RECPT VERT SMC 2 POS,,Digikey,https://www.digikey.com/en/products/detail/molex/2132250210/11565247?s=N4IgTCBcDa4IwGYxgKwAYxzSAugXyA,$1.14,$11.40,2,have 4 but need 2 per board
,10,900-5025780201-ND,15 WB SINGLE PLUG HSG 2CKT BLACK,,Digikey,https://www.digikey.com/en/products/detail/molex/5025780201/10718826,$0.21,$2.10,2,have 4
,,WM9735CT-ND,CONN 24-28AWG CRIMP TIN,,Digikey,https://www.digikey.com/en/products/detail/molex/5025790000/2819012,$0.03,$0.00,,There is a roll of these in the office
,,WM13352-ND,CONN PLUG HSG 4POS 1.50MM,,Digikey,https://www.digikey.com/en/products/detail/molex/5025780400/2819000,$0.28,$0.00,1,have some only needed for button
,10,DMN63D8L-7DICT-ND,MOSFET N-CH 30V 350MA SOT23,,Digikey,https://www.digikey.com/en/products/detail/diodes-incorporated/DMN63D8L-7/5699705,$0.21,$2.10,2,
,20,RMCF0603FT10K0CT-ND,RES 10K OHM 1% 1/10W 0603,,Digikey,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FT10K0/1761235?s=N4IgTCBcDaIEoFkDCAxADANjQZhQFQEY0BpNEAXQF8g,$0.10,$2.00,6,
,,WM12830CT-ND,CONN RCPT 4POS 0.059 TIN SMD,,Digikey,https://www.digikey.com/en/products/detail/molex/5025840460/2819018?s=N4IgTCBcDaIKwAYxwBwBYC0C0DYEgF0BfIA,$1.23,$0.00,1,"only used for display, so should not need to be purchased"
,5,WM15814-ND,CONN PLUG HSG 6POS 1.50MM,,Digikey,https://www.digikey.com/en/products/detail/molex/5025780600/2819002,$0.31,$1.55,1,tf luna 6 pin PLUG
,5,WM10616CT-ND,CONN RCPT 6POS 0.059 TIN SMD,,Digikey,https://www.digikey.com/en/products/detail/molex/5025840660/2819022?s=N4IgTCBcDaIKwAYxwBwBYEDZMJAXQF8g,$1.24,$6.20,1,tf luna 6 pin conn
,5,Mini Panel Mount SPDT Toggle Switc,Mini Panel Mount SPDT Toggle Switc,,Adafruit,https://www.adafruit.com/product/3221?gad_source=1&gad_campaignid=21079227318&gbraid=0AAAAADx9JvQ1C9L-l6yhb02nf9rbdTqz3&gclid=Cj0KCQjwkrzPBhCqARIsAJN460mtZdk0B-WXzwFGVkS_9hv1xNmngdWJJT30f10ljMBBS_U6GjWoGD4aAg6HEALw_wcB,$0.95,$4.75,1,spdt
,1,Makerfocus 3.7V 3000mAh Lithium Rechargeable Battery 1S 3C LiPo Battery (Pack of 4),Makerfocus 3.7V 3000mAh Lithium Rechargeable Battery 1S 3C LiPo Battery (Pack of 4),,Makerfocus,https://www.makerfocus.com/products/makerfocus-3-7v-3000mah-lithium-rechargeable-battery-1s-3c-lipo-battery-pack-of-4?srsltid=AfmBOooj9ULFuDQbPgMJkicIqOkr4sooiUAhFfJ_-wMR_ccrT82YaYi1,$24.99,$24.99,,LIPO pack of 4
,10,609-4616-1-ND,CONN RCPT USB2.0 MICRO B SMD R/A,,Digikey,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388?s=N4IgTCBcDaIIwAY5wBxwJwGYC0C9wBkAxEAXQF8g,$0.47,$4.70,1,usb 2.0 Connector
,,Heltec ESP32 LoRa 32 V4 Development Board with OLED Display Upgraded ESP32 S3 SX1262 27dBm High Power Chip for WiFi Meshtastic IoT Devices Arduino Smart Home and Wireless Communication,Devkit,,Amazon,https://www.amazon.com/Heltec-Development-Display-Meshtastic-Communication/dp/B0FS1R4HXH?th=1,$29.99,$0.00,2,
,,,,,,,TOTAL:,$59.79,,